timestamp,steering_angle_rad,longitudinal_offset,lateral_offset,lane_id
2025-06-08T18:14:06.736196,0.000,0.068,0.006,1
2025-06-08T18:14:06.767901,0.000,0.068,0.006,1
2025-06-08T18:14:06.800867,0.000,0.068,0.006,1
2025-06-08T18:14:06.828049,0.000,0.068,0.006,1
2025-06-08T18:14:06.864846,0.000,0.068,0.006,1
2025-06-08T18:14:06.891905,0.000,0.068,0.006,1
2025-06-08T18:14:06.923271,0.000,0.068,0.006,1
2025-06-08T18:14:06.983775,0.000,0.068,0.006,1
2025-06-08T18:14:07.048161,0.000,0.068,0.006,1
2025-06-08T18:14:07.077780,0.000,0.068,0.006,1
2025-06-08T18:14:07.106954,0.000,0.068,0.006,1
2025-06-08T18:14:07.138727,0.000,0.068,0.006,1
2025-06-08T18:14:07.160874,0.000,0.068,0.006,1
2025-06-08T18:14:07.183149,0.000,0.068,0.006,1
2025-06-08T18:14:07.214116,0.000,0.108,0.006,1
2025-06-08T18:14:07.235113,0.000,0.108,0.006,1
2025-06-08T18:14:07.258155,0.000,0.108,0.006,1
2025-06-08T18:14:07.288285,0.000,0.253,0.006,1
2025-06-08T18:14:07.312954,0.000,0.253,0.006,1
2025-06-08T18:14:07.341126,0.000,0.253,0.006,1
2025-06-08T18:14:07.382241,0.023,0.474,0.006,1
2025-06-08T18:14:07.408982,0.043,0.474,0.006,1
2025-06-08T18:14:07.443799,0.039,0.474,0.006,1
2025-06-08T18:14:07.469160,0.034,-0.255,0.010,1
2025-06-08T18:14:07.489488,0.032,-0.255,0.010,1
2025-06-08T18:14:07.522863,0.028,-0.255,0.010,1
2025-06-08T18:14:07.547116,0.026,0.051,0.015,1
2025-06-08T18:14:07.570818,0.023,0.051,0.015,1
2025-06-08T18:14:07.612943,0.021,0.051,0.015,1
2025-06-08T18:14:07.639200,0.018,0.390,0.020,1
2025-06-08T18:14:07.662426,0.017,0.390,0.020,1
2025-06-08T18:14:07.697967,0.015,-0.275,0.025,1
2025-06-08T18:14:07.719187,0.013,-0.275,0.025,1
2025-06-08T18:14:07.740709,0.012,-0.275,0.025,1
2025-06-08T18:14:07.775474,0.011,-0.275,0.025,1
2025-06-08T18:14:07.798761,0.010,0.053,0.030,1
2025-06-08T18:14:07.822558,0.009,0.053,0.030,1
2025-06-08T18:14:07.848652,0.007,0.053,0.030,1
2025-06-08T18:14:07.883956,0.007,0.372,0.034,1
2025-06-08T18:14:07.910885,0.006,0.372,0.034,1
2025-06-08T18:14:07.948212,0.006,-0.304,0.039,1
2025-06-08T18:14:07.970442,0.005,-0.304,0.039,1
2025-06-08T18:14:07.991796,0.005,-0.304,0.039,1
2025-06-08T18:14:08.025018,0.004,0.014,0.044,1
2025-06-08T18:14:08.050813,0.004,0.014,0.044,1
2025-06-08T18:14:08.074133,0.004,0.014,0.044,1
2025-06-08T18:14:08.104818,0.004,0.014,0.044,1
2025-06-08T18:14:08.127118,0.002,0.334,0.048,1
2025-06-08T18:14:08.148854,0.002,0.334,0.048,1
2025-06-08T18:14:08.173091,0.002,0.334,0.048,1
2025-06-08T18:14:08.207975,0.002,-0.348,0.053,1
2025-06-08T18:14:08.238492,0.001,-0.348,0.053,1
2025-06-08T18:14:08.298161,0.001,-0.018,0.057,1
2025-06-08T18:14:08.330132,0.001,-0.018,0.057,1
2025-06-08T18:14:08.376938,0.001,0.291,0.061,1
2025-06-08T18:14:08.407803,0.001,0.291,0.061,1
2025-06-08T18:14:08.445422,0.001,0.291,0.061,1
2025-06-08T18:14:08.467828,0.001,-0.412,0.066,1
2025-06-08T18:14:08.490869,0.001,-0.412,0.066,1
2025-06-08T18:14:08.518120,0.001,-0.412,0.066,1
2025-06-08T18:14:08.554032,0.001,-0.075,0.070,1
2025-06-08T18:14:08.578667,0.001,-0.075,0.070,1
2025-06-08T18:14:08.603066,0.000,-0.075,0.070,1
2025-06-08T18:14:08.628813,0.000,0.233,0.075,1
2025-06-08T18:14:08.648907,0.000,0.233,0.075,1
2025-06-08T18:14:08.667180,0.000,0.233,0.075,1
2025-06-08T18:14:08.697954,0.000,-0.460,0.079,1
2025-06-08T18:14:08.720048,0.000,-0.460,0.079,1
2025-06-08T18:14:08.741825,0.000,-0.460,0.079,1
2025-06-08T18:14:08.768085,0.000,-0.460,0.079,1
2025-06-08T18:14:08.802907,0.000,-0.144,0.083,1
2025-06-08T18:14:08.828031,0.000,-0.144,0.083,1
2025-06-08T18:14:08.866860,0.000,-0.144,0.083,1
2025-06-08T18:14:08.890766,0.000,0.166,0.087,1
2025-06-08T18:14:08.912957,0.000,0.166,0.087,1
2025-06-08T18:14:08.940004,0.000,0.465,0.091,1
2025-06-08T18:14:08.969079,0.000,0.465,0.091,1
2025-06-08T18:14:08.992814,0.000,0.465,0.091,1
2025-06-08T18:14:09.030268,0.000,0.465,0.091,1
2025-06-08T18:14:09.052418,0.000,-0.222,0.096,1
2025-06-08T18:14:09.075879,0.000,-0.222,0.096,1
2025-06-08T18:14:09.118791,0.000,0.097,0.100,1
2025-06-08T18:14:09.144742,0.000,0.097,0.100,1
2025-06-08T18:14:09.165911,0.000,0.097,0.100,1
2025-06-08T18:14:09.206146,0.000,0.419,0.104,1
2025-06-08T18:14:09.230294,0.000,0.419,0.104,1
2025-06-08T18:14:09.255194,0.000,0.419,0.104,1
2025-06-08T18:14:09.287704,0.000,-0.274,0.109,1
2025-06-08T18:14:09.309073,0.000,-0.274,0.109,1
2025-06-08T18:14:09.329045,0.000,-0.274,0.109,1
2025-06-08T18:14:09.357963,0.000,-0.274,0.109,1
2025-06-08T18:14:09.380229,0.000,0.029,0.113,1
2025-06-08T18:14:09.404945,0.000,0.029,0.113,1
2025-06-08T18:14:09.429142,0.000,0.029,0.113,1
2025-06-08T18:14:09.462981,0.000,0.337,0.117,1
2025-06-08T18:14:09.484153,0.000,0.337,0.117,1
2025-06-08T18:14:09.510384,0.000,0.337,0.117,1
2025-06-08T18:14:09.541164,0.000,-0.358,0.121,1
2025-06-08T18:14:09.563930,0.000,-0.358,0.121,1
2025-06-08T18:14:09.585412,0.000,-0.358,0.121,1
2025-06-08T18:14:09.618423,0.000,-0.051,0.125,1
