steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.4753,0.1667,0.0412,0.857,0.25,0.9486,0,2025-07-04 12:10:26.826999903,1751631026.827,7
2.5114,0.3667,0.0451,0.9635,0.7167,0.9124,9,2025-07-04 12:10:46.826999903,1751631046.827,7
2.6496,0.6167,0.0462,1.0365,0.7833,0.9205,9,2025-07-04 12:11:06.826999903,1751631066.827,7
2.9012,0.8333,0.0505,0.9739,0.75,0.9239,9,2025-07-04 12:11:26.826999903,1751631086.827,7
2.985,0.8833,0.0488,0.8704,0.4667,0.9524,2,2025-07-04 12:11:46.828000069,1751631106.828,7
3.0853,0.7,0.0548,0.9113,0.5833,0.9403,4,2025-07-04 12:12:06.828999996,1751631126.829,7
3.0094,0.6,0.0567,0.9165,0.55,0.9437,4,2025-07-04 12:12:26.927000046,1751631146.927,7
2.978,0.45,0.0832,0.8727,0.45,0.954,2,2025-07-04 12:12:46.927000046,1751631166.927,7
2.9175,0.4167,0.088,0.8141,0.4833,0.9505,2,2025-07-04 12:13:06.927000046,1751631186.927,7
2.6731,0.4333,0.0846,0.9131,0.5833,0.9405,4,2025-07-04 12:13:26.927000046,1751631206.927,7
2.8642,0.5333,0.0531,0.9757,0.6667,0.9319,6,2025-07-04 12:13:46.927000046,1751631226.927,7
2.8718,0.6,0.0522,1.0038,0.7833,0.9201,6,2025-07-04 12:14:06.927000046,1751631246.927,7
2.4832,0.6167,0.0623,0.9837,0.95,0.9027,8,2025-07-04 12:14:26.927000046,1751631266.927,7
2.713,0.5833,0.0855,2.9045,2.3833,0.7534,15,2025-07-04 12:14:46.927000046,1751631286.927,7
2.7833,0.5167,0.0887,2.9385,2.3833,0.7522,15,2025-07-04 12:15:06.927000046,1751631306.927,7
2.9396,0.3,0.0878,3.1863,1.9667,0.7429,11,2025-07-04 12:15:26.927000046,1751631326.927,7
