steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.8953,0.3167,0.0358,0.5669,0.0,1.0,0,2025-07-04 11:54:27.927000046,1751630067.927,4
3.0826,0.4833,0.039,0.6685,0.1667,0.98,4,2025-07-04 11:54:47.927000046,1751630087.927,4
3.2023,0.4833,0.0394,0.8209,0.5667,0.9433,4,2025-07-04 11:55:07.927000046,1751630107.927,4
3.0848,0.5167,0.0397,0.913,0.9333,0.9067,8,2025-07-04 11:55:27.927000046,1751630127.927,4
3.0257,0.6,0.039,1.0171,1.1167,0.8883,6,2025-07-04 11:55:47.927000046,1751630147.927,4
3.0032,0.5167,0.0399,0.9278,0.8667,0.9135,6,2025-07-04 11:56:07.927999973,1751630167.928,4
3.0153,0.5333,0.0396,0.8164,0.5667,0.9433,6,2025-07-04 11:56:28.026999950,1751630188.027,4
2.8838,0.4667,0.0395,0.6498,0.2333,0.9767,4,2025-07-04 11:56:48.026999950,1751630208.027,4
2.9405,0.4667,0.0395,0.7764,0.5167,0.9483,6,2025-07-04 11:57:08.026999950,1751630228.027,4
2.8596,0.45,0.0406,0.7684,0.4833,0.9517,4,2025-07-04 11:57:28.028000116,1751630248.028,4
2.9256,0.3667,0.0391,0.7508,0.4667,0.9533,4,2025-07-04 11:57:48.127000093,1751630268.127,4
2.9428,0.3833,0.039,0.7393,0.25,0.975,9,2025-07-04 11:58:08.127000093,1751630288.127,4
3.06,0.35,0.0384,0.812,0.45,0.955,7,2025-07-04 11:58:28.127000093,1751630308.127,4
3.0299,0.35,0.0393,0.8249,0.5667,0.9432,11,2025-07-04 11:58:48.127000093,1751630328.127,4
3.0007,0.3,0.0399,0.7861,0.55,0.9449,4,2025-07-04 11:59:08.127000093,1751630348.127,4
2.9254,0.1833,0.0393,0.7687,0.35,0.9504,4,2025-07-04 11:59:28.127000093,1751630368.127,4
