steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.8442,0.35,0.0348,0.5628,0.0,1.0,0,2025-06-30 07:35:13.177000046,1751268913.177,9
2.7895,0.6167,0.0346,0.5374,0.0,1.0,0,2025-06-30 07:35:33.177999973,1751268933.178,9
2.8256,0.7167,0.0369,0.507,0.0,1.0,0,2025-06-30 07:35:53.276999950,1751268953.277,9
2.93,0.75,0.0347,0.4417,0.0,1.0,0,2025-06-30 07:36:13.278000116,1751268973.278,9
2.9478,0.7333,0.0366,0.4212,0.0,1.0,0,2025-06-30 07:36:33.378000021,1751268993.378,9
2.9044,0.9,0.036,0.4618,0.0,1.0,0,2025-06-30 07:36:53.378000021,1751269013.378,9
2.906,0.9167,0.036,0.4586,0.0,1.0,0,2025-06-30 07:37:13.476999998,1751269033.477,9
2.639,0.9333,0.0368,0.4873,0.0,1.0,0,2025-06-30 07:37:33.476999998,1751269053.477,9
2.742,0.75,0.037,0.4673,0.0,1.0,0,2025-06-30 07:37:53.476999998,1751269073.477,9
2.7593,0.8,0.0377,0.4986,0.0,1.0,0,2025-06-30 07:38:13.476999998,1751269093.477,9
3.0198,0.75,0.0356,0.4431,0.0,1.0,0,2025-06-30 07:38:33.476999998,1751269113.477,9
2.92,0.75,0.0368,0.486,0.0333,0.9967,0,2025-06-30 07:38:53.476999998,1751269133.477,9
2.9975,0.65,0.0371,0.461,0.0333,0.9967,0,2025-06-30 07:39:13.476999998,1751269153.477,9
2.8503,0.5833,0.0393,0.5789,0.2667,0.9733,2,2025-06-30 07:39:33.476999998,1751269173.477,9
2.7878,0.4833,0.0364,0.5792,0.25,0.9706,2,2025-06-30 07:39:53.477999926,1751269193.478,9
2.8659,0.25,0.0374,0.6893,0.25,0.9516,2,2025-06-30 07:40:13.578000069,1751269213.578,9
