steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.6404,0.1667,0.0313,0.6511,0.2,0.9601,2,2025-06-27 13:12:42.460000038,1751029962.46,8
2.7392,0.3833,0.0322,0.9346,0.65,0.9222,11,2025-06-27 13:13:02.559000015,1751029982.559,8
2.7192,0.5,0.035,0.9245,0.65,0.9349,11,2025-06-27 13:13:22.559999943,1751030002.56,8
2.5351,0.6,0.0396,0.9298,0.6167,0.9383,9,2025-06-27 13:13:42.559999943,1751030022.56,8
2.4917,0.5833,0.05,0.6755,0.1667,0.9833,0,2025-06-27 13:14:02.559999943,1751030042.56,8
2.5386,0.6,0.058,0.7479,0.3167,0.9682,0,2025-06-27 13:14:22.660000086,1751030062.66,8
2.4519,0.5667,0.0648,0.7406,0.2667,0.9732,2,2025-06-27 13:14:42.759999990,1751030082.76,8
2.4793,0.5333,0.0565,0.7981,0.3333,0.9666,2,2025-06-27 13:15:02.858999968,1751030102.859,8
2.8044,0.3833,0.0434,0.7863,0.35,0.9649,2,2025-06-27 13:15:22.859999895,1751030122.86,8
2.9033,0.3,0.0474,0.7297,0.2833,0.9717,0,2025-06-27 13:15:42.959000111,1751030142.959,8
2.9654,0.4,0.0476,0.7675,0.55,0.945,2,2025-06-27 13:16:02.959000111,1751030162.959,8
2.8501,0.6167,0.0428,0.7016,0.3833,0.9617,2,2025-06-27 13:16:22.959000111,1751030182.959,8
2.7527,0.7333,0.0299,0.6993,0.3667,0.9633,2,2025-06-27 13:16:42.959000111,1751030202.959,8
2.7054,0.7,0.0356,0.6907,0.2333,0.9766,0,2025-06-27 13:17:02.959000111,1751030222.959,8
2.2701,0.5333,0.0483,0.76,0.35,0.9624,2,2025-06-27 13:17:22.959000111,1751030242.959,8
2.422,0.3167,0.0543,0.8289,0.3167,0.9472,2,2025-06-27 13:17:42.960000038,1751030262.96,8
