timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751030372,2.6967,0.8833,0.0371,0.7516,0.0667,0.9933,6,8
1970-01-01 00:00:01.751030392,2.6403,0.7333,0.0339,0.7748,0.0667,0.9933,6,8
1970-01-01 00:00:01.751030412,2.4604,0.6333,0.0335,0.931,0.5,0.95,15,8
1970-01-01 00:00:01.751030432,2.5158,0.5,0.034,0.8814,0.5167,0.9483,11,8
1970-01-01 00:00:01.751030452,2.6608,0.5333,0.0458,0.9614,0.5833,0.9417,15,8
1970-01-01 00:00:01.751030472,2.6491,0.4833,0.0438,0.758,0.15,0.985,6,8
1970-01-01 00:00:01.751030492,2.6193,0.5167,0.0313,0.6694,0.0667,0.9933,4,8
1970-01-01 00:00:01.751030512,2.9984,0.5667,0.0263,0.5533,0.0,1.0,0,8
1970-01-01 00:00:01.751030532,2.7832,0.6333,0.0276,0.6801,0.0,1.0,0,8
1970-01-01 00:00:01.751030552,2.838,0.65,0.0286,0.7176,0.0,1.0,0,8
1970-01-01 00:00:01.751030572,2.938,0.65,0.0304,0.7811,0.0,1.0,0,8
1970-01-01 00:00:01.751030592,2.7127,0.7333,0.0329,0.7964,0.1667,0.9833,4,8
1970-01-01 00:00:01.751030612,2.7482,0.6667,0.0332,0.8374,0.1667,0.9833,4,8
