steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.4183,0.3,0.029,0.676,0.2167,0.9567,0,2025-07-04 10:35:22.512000083,1751625322.512,2
2.718,0.45,0.0346,0.6722,0.2167,0.974,0,2025-07-04 10:35:42.512000083,1751625342.512,2
2.8259,0.4667,0.0365,0.6755,0.2167,0.9783,0,2025-07-04 10:36:02.512000083,1751625362.512,2
2.8589,0.5,0.0359,0.5769,0.0,1.0,0,2025-07-04 10:36:22.512000083,1751625382.512,2
2.8983,0.5333,0.0349,0.626,0.0667,0.9933,0,2025-07-04 10:36:42.512000083,1751625402.512,2
2.9186,0.5333,0.0338,0.6253,0.0667,0.9933,0,2025-07-04 10:37:02.512000083,1751625422.512,2
2.834,0.5667,0.0391,0.6648,0.1667,0.9833,0,2025-07-04 10:37:22.512000083,1751625442.512,2
2.7934,0.6167,0.0401,0.6558,0.2667,0.9733,0,2025-07-04 10:37:42.513000011,1751625462.513,2
2.922,0.6167,0.0428,0.7116,0.3,0.97,0,2025-07-04 10:38:02.611999989,1751625482.612,2
2.8553,0.5333,0.038,0.6319,0.2,0.98,0,2025-07-04 10:38:22.611999989,1751625502.612,2
2.8224,0.4167,0.0363,0.5432,0.0333,0.9967,0,2025-07-04 10:38:42.612999916,1751625522.613,2
2.9843,0.4167,0.0357,0.6717,0.3,0.97,0,2025-07-04 10:39:02.711999893,1751625542.712,2
3.0952,0.45,0.0379,0.7825,0.4667,0.9533,0,2025-07-04 10:39:22.711999893,1751625562.712,2
2.805,0.5833,0.0385,0.8124,0.4833,0.9517,0,2025-07-04 10:39:42.711999893,1751625582.712,2
2.4676,0.4333,0.0363,0.6447,0.1833,0.9812,0,2025-07-04 10:40:02.711999893,1751625602.712,2
2.3904,0.2667,0.0355,0.5114,0.0167,0.9974,0,2025-07-04 10:40:22.711999893,1751625622.712,2
