timestamp,steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,kss_score
1970-01-01 00:00:01.751624800,2.9166,0.35,0.0274,0.6287,0.0,1.0,0,2
1970-01-01 00:00:01.751624820,2.6386,0.5833,0.0292,0.5141,0.0,1.0,0,2
1970-01-01 00:00:01.751624840,2.7899,0.4667,0.0305,0.5167,0.0167,0.9983,2,2
1970-01-01 00:00:01.751624860,2.8504,0.5,0.031,0.5468,0.0167,0.9983,2,2
1970-01-01 00:00:01.751624880,2.6601,0.3833,0.045,0.5913,0.0167,0.9983,2,2
1970-01-01 00:00:01.751624900,2.3369,0.4667,0.0909,0.6523,0.1,0.99,1,2
1970-01-01 00:00:01.751624920,2.6975,0.45,0.1003,0.7331,0.1333,0.9867,2,2
1970-01-01 00:00:01.751624940,2.7022,0.5167,0.0853,0.8142,0.1333,0.9867,2,2
1970-01-01 00:00:01.751624960,2.7388,0.4333,0.0779,0.7746,0.0333,0.9967,1,2
1970-01-01 00:00:01.751624980,2.6657,0.45,0.0846,0.81,0.2,0.98,2,2
1970-01-01 00:00:01.751625000,2.5527,0.4,0.0786,0.7433,0.2,0.98,2,2
1970-01-01 00:00:01.751625020,2.6682,0.4167,0.0452,0.6499,0.2,0.98,2,2
1970-01-01 00:00:01.751625040,3.008,0.45,0.0339,0.6738,0.0,1.0,0,2
