steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9347,0.1,0.0515,0.8295,0.2167,0.9567,0,2025-07-04 11:05:25.711999893,1751627125.712,9
2.927,0.2833,0.0489,0.7747,0.3,0.9641,0,2025-07-04 11:05:45.713000059,1751627145.713,9
2.9947,0.4167,0.0419,0.8936,0.5167,0.9483,0,2025-07-04 11:06:05.713000059,1751627165.713,9
2.986,0.5167,0.0414,0.8065,0.45,0.955,2,2025-07-04 11:06:25.812000036,1751627185.812,9
2.8723,0.5167,0.0443,0.8182,0.4833,0.9517,4,2025-07-04 11:06:45.812000036,1751627205.812,9
2.8221,0.6,0.0454,0.7463,0.4333,0.9567,4,2025-07-04 11:07:05.812000036,1751627225.812,9
2.9278,0.65,0.0488,0.7324,0.3833,0.9617,4,2025-07-04 11:07:25.812999964,1751627245.813,9
3.1157,0.7833,0.0548,0.7405,0.3833,0.9616,2,2025-07-04 11:07:45.911999941,1751627265.912,9
3.2041,0.7667,0.0595,0.8097,0.5167,0.9482,2,2025-07-04 11:08:05.913000107,1751627285.913,9
3.1393,0.8,0.0595,0.8573,0.6167,0.9382,0,2025-07-04 11:08:26.012000084,1751627306.012,9
2.9969,0.7,0.0543,0.818,0.5667,0.9432,0,2025-07-04 11:08:46.012000084,1751627326.012,9
3.0679,0.7167,0.0504,0.7788,0.4667,0.9532,0,2025-07-04 11:09:06.012000084,1751627346.012,9
3.0208,0.6167,0.0534,0.7477,0.4,0.9598,0,2025-07-04 11:09:26.012000084,1751627366.012,9
3.1395,0.6333,0.059,0.8283,0.55,0.9448,2,2025-07-04 11:09:46.012000084,1751627386.012,9
3.0762,0.55,0.0587,0.8438,0.5667,0.9432,2,2025-07-04 11:10:06.013000011,1751627406.013,9
2.9795,0.3667,0.0565,0.8823,0.4333,0.9353,2,2025-07-04 11:10:26.111999989,1751627426.112,9
