steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.9759,0.05,0.0281,0.1816,0.0,1.0,0,2025-07-04 11:35:56.726999998,1751628956.727,3
2.6998,0.1833,0.031,0.2359,0.0,1.0,0,2025-07-04 11:36:16.726999998,1751628976.727,3
2.8988,0.2,0.0323,0.4512,0.0333,0.9967,0,2025-07-04 11:36:36.727999926,1751628996.728,3
2.9099,0.3167,0.0334,0.6448,0.15,0.985,0,2025-07-04 11:36:56.826999903,1751629016.827,3
2.9496,0.3,0.0301,0.7169,0.2333,0.9767,0,2025-07-04 11:37:16.826999903,1751629036.827,3
2.6941,0.45,0.0277,0.5367,0.2,0.98,0,2025-07-04 11:37:36.826999903,1751629056.827,3
2.6898,0.4167,0.0283,0.6287,0.0667,0.9933,0,2025-07-04 11:37:56.828000069,1751629076.828,3
2.7906,0.3833,0.032,0.5419,0.0,1.0,0,2025-07-04 11:38:16.927000046,1751629096.927,3
2.882,0.3167,0.0346,0.6368,0.0,1.0,0,2025-07-04 11:38:36.927000046,1751629116.927,3
2.9101,0.2833,0.0328,0.6316,0.1667,0.9833,0,2025-07-04 11:38:56.927999973,1751629136.928,3
2.6599,0.35,0.032,0.5911,0.1667,0.9833,0,2025-07-04 11:39:16.927999973,1751629156.928,3
2.7141,0.4667,0.0307,0.5726,0.1667,0.9834,0,2025-07-04 11:39:37.028000116,1751629177.028,3
2.6111,0.4667,0.0328,0.5097,0.0167,0.9983,0,2025-07-04 11:39:57.127000093,1751629197.127,3
2.6838,0.4333,0.0301,0.5866,0.0167,0.9983,0,2025-07-04 11:40:17.127000093,1751629217.127,3
2.7893,0.3333,0.0313,0.6132,0.2167,0.9783,2,2025-07-04 11:40:37.128000020,1751629237.128,3
2.8946,0.2333,0.0296,0.6756,0.2,0.9719,2,2025-07-04 11:40:57.226999998,1751629257.227,3
