steering_entropy,steering_reversal_rate,steering_std,offset_std,lane_departure_freq,lane_keeping_ratio,lane_changes,timestamp,timestamp_float,kss_score
2.793,0.3,0.034,0.2416,0.0,1.0,0,2025-06-30 07:02:15.076999903,1751266935.077,1
2.8775,0.4667,0.0335,0.2492,0.0,1.0,0,2025-06-30 07:02:35.076999903,1751266955.077,1
2.7551,0.7333,0.0338,0.2969,0.0,1.0,0,2025-06-30 07:02:55.076999903,1751266975.077,1
2.8272,0.7,0.0338,0.3152,0.0,1.0,0,2025-06-30 07:03:15.076999903,1751266995.077,1
2.7453,0.75,0.0357,0.3101,0.0,1.0,0,2025-06-30 07:03:35.076999903,1751267015.077,1
2.7491,0.7833,0.0359,0.2778,0.0,1.0,0,2025-06-30 07:03:55.076999903,1751267035.077,1
2.7484,0.6833,0.0359,0.2919,0.0,1.0,0,2025-06-30 07:04:15.076999903,1751267055.077,1
2.6881,0.6167,0.0353,0.2988,0.0,1.0,0,2025-06-30 07:04:35.076999903,1751267075.077,1
2.7087,0.6,0.0334,0.2925,0.0,1.0,0,2025-06-30 07:04:55.076999903,1751267095.077,1
2.4405,0.6,0.0351,0.2824,0.0,1.0,0,2025-06-30 07:05:15.076999903,1751267115.077,1
2.6298,0.65,0.034,0.3459,0.0,1.0,0,2025-06-30 07:05:35.078000069,1751267135.078,1
2.7864,0.6167,0.0365,0.3594,0.0,1.0,0,2025-06-30 07:05:55.177000046,1751267155.177,1
2.8677,0.6833,0.0351,0.3439,0.0,1.0,0,2025-06-30 07:06:15.177000046,1751267175.177,1
2.7658,0.65,0.0338,0.2839,0.0,1.0,0,2025-06-30 07:06:35.177000046,1751267195.177,1
2.8339,0.5833,0.0341,0.2462,0.0,1.0,0,2025-06-30 07:06:55.177999973,1751267215.178,1
2.9658,0.3333,0.034,0.2524,0.0,1.0,0,2025-06-30 07:07:15.177999973,1751267235.178,1
