Video,Frame,PERCLOS,BlinkRate,YawnRate,YawnCount,KSS,Timestamp
1-1,1-1_frame_0030_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:08:44.298000
1-1,1-1_frame_0036_face0.jpg,0.0833,0.5000,0.0000,0,3,1900-01-01 10:08:45.299000
1-1,1-1_frame_0042_face0.jpg,0.0833,0.5000,0.0000,0,3,1900-01-01 10:08:46.298000
1-1,1-1_frame_0048_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:08:47.299000
1-1,1-1_frame_0054_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:08:48.298000
1-1,1-1_frame_0060_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:08:49.297000
1-1,1-1_frame_0066_face0.jpg,0.0500,0.3000,0.0000,0,3,1900-01-01 10:08:50.297000
1-1,1-1_frame_0072_face0.jpg,0.0500,0.3000,0.0000,0,3,1900-01-01 10:08:51.298000
1-1,1-1_frame_0078_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:52.298000
1-1,1-1_frame_0084_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:53.298000
1-1,1-1_frame_0090_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:54.298000
1-1,1-1_frame_0096_face0.jpg,0.0167,0.1000,0.0000,0,3,1900-01-01 10:08:55.297000
1-1,1-1_frame_0102_face0.jpg,0.0167,0.1000,0.0000,0,3,1900-01-01 10:08:56.298000
1-1,1-1_frame_0108_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:57.298000
1-1,1-1_frame_0114_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:58.298000
1-1,1-1_frame_0120_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:59.297000
1-1,1-1_frame_0126_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:09:00.297000
1-1,1-1_frame_0132_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:09:01.297000
