Video,Frame,PERCLOS,BlinkRate,YawnRate,KSS,Timestamp
13-2,13-2_frame_0960.jpg,0.0917,24.0,0.2,3,03:55:33:132
13-2,13-2_frame_1020.jpg,0.0778,19.0,0.2,3,03:55:43:132
13-2,13-2_frame_1080.jpg,0.0806,18.0,0.2,3,03:55:53:166
13-2,13-2_frame_1140.jpg,0.075,17.0,0.2,3,03:56:03:500
13-2,13-2_frame_1200.jpg,0.0694,16.0,0.2,3,03:56:13:498
13-2,13-2_frame_1260.jpg,0.0667,17.0,0.2,3,03:56:23:499
14-3,14-3_frame_3180.jpg,0.0361,10.0,3.4,8,12:21:00:410
14-3,14-3_frame_3240.jpg,0.0472,9.0,3.4,8,12:21:10:411
14-3,14-3_frame_3300.jpg,0.1028,11.0,3.4,8,12:21:20:411
14-3,14-3_frame_3360.jpg,0.0917,7.0,5.8,8,12:21:30:408
4-2,4-2_frame_0180.jpg,0.175,54.0,0.8,8,03:44:17:078
4-2,4-2_frame_0300.jpg,0.1917,58.0,1.0,8,03:44:57:070
4-2,4-2_frame_0360.jpg,0.2111,60.0,1.0,8,03:45:17:068
4-2,4-2_frame_0420.jpg,0.2083,60.0,2.0,8,03:45:37:204
4-2,4-2_frame_0480.jpg,0.2167,58.0,2.0,8,03:45:57:340
4-2,4-2_frame_0540.jpg,0.25,66.0,2.2,8,03:46:24:939
4-2,4-2_frame_0600.jpg,0.2611,67.0,2.2,8,03:46:45:205
4-2,4-2_frame_0660.jpg,0.275,70.0,1.2,8,03:47:05:274
4-2,4-2_frame_0720.jpg,0.2972,75.0,1.8,8,03:47:25:407
4-2,4-2_frame_0780.jpg,0.3139,79.0,0.8,8,03:47:45:475
4-2,4-2_frame_0840.jpg,0.3056,78.0,0.8,8,03:48:05:542
4-2,4-2_frame_0900.jpg,0.3222,76.0,0.6,8,03:48:25:674
4-2,4-2_frame_0960.jpg,0.3417,78.0,0.6,8,03:48:45:808
4-2,4-2_frame_1020.jpg,0.3806,77.0,0.6,8,03:49:05:874
4-3,4-3_frame_0240.jpg,0.1056,31.0,2.4,9,11:49:32:761
4-3,4-3_frame_0300.jpg,0.1278,35.0,2.4,9,11:49:52:770
4-3,4-3_frame_0360.jpg,0.1417,39.0,2.4,9,11:50:12:763
4-3,4-3_frame_0420.jpg,0.175,44.0,2.4,9,11:50:32:772
4-3,4-3_frame_0480.jpg,0.2194,52.0,4.8,9,11:50:57:570
4-3,4-3_frame_0540.jpg,0.2361,57.0,4.8,9,11:51:20:030
4-3,4-3_frame_0600.jpg,0.25,56.0,2.4,9,11:51:40:039
4-3,4-3_frame_0660.jpg,0.2722,63.0,2.4,9,11:52:00:037
4-3,4-3_frame_0720.jpg,0.3083,70.0,2.4,9,11:52:20:040
4-3,4-3_frame_0780.jpg,0.3083,73.0,4.4,9,11:52:40:035
4-3,4-3_frame_0840.jpg,0.2889,71.0,2.0,9,11:53:00:037
4-3,4-3_frame_0900.jpg,0.2528,61.0,2.0,9,11:53:20:043
4-3,4-3_frame_0960.jpg,0.2389,62.0,2.0,9,11:53:40:044
4-3,4-3_frame_1020.jpg,0.2333,62.0,2.0,9,11:54:00:041
4-3,4-3_frame_1080.jpg,0.2167,60.0,2.0,9,11:54:20:043
4-3,4-3_frame_1200.jpg,0.2083,63.0,1.0,9,11:55:00:041
4-3,4-3_frame_1260.jpg,0.2194,68.0,1.0,9,11:55:20:041
4-3,4-3_frame_1320.jpg,0.1889,60.0,1.0,9,11:55:40:045
4-3,4-3_frame_1380.jpg,0.15,49.0,1.0,9,11:56:00:041
4-3,4-3_frame_1440.jpg,0.1278,43.0,1.0,9,11:56:20:046
4-3,4-3_frame_1500.jpg,0.1083,39.0,1.0,9,11:56:40:043
5-3,5-3_frame_0660.jpg,0.0111,4.0,0.2,8,12:06:05:952
5-3,5-3_frame_0720.jpg,0.0056,2.0,0.2,8,12:06:25:961
5-3,5-3_frame_0780.jpg,0.0056,2.0,0.2,8,12:06:46:099
5-3,5-3_frame_0840.jpg,0.0056,2.0,0.2,8,12:07:06:561
5-3,5-3_frame_0900.jpg,0.0056,2.0,0.2,8,12:07:26:563
5-3,5-3_frame_0960.jpg,0.0056,2.0,0.2,8,12:07:46:563
6-1,6-1_frame_1200.jpg,0.1056,25.0,0.2,2,10:43:28:317
6-1,6-1_frame_1260.jpg,0.0917,25.0,0.2,2,10:43:38:318
6-1,6-1_frame_1320.jpg,0.0917,26.0,0.2,2,10:43:48:377
6-1,6-1_frame_1380.jpg,0.075,25.0,0.2,2,10:43:58:420
6-1,6-1_frame_1440.jpg,0.0778,26.0,0.2,2,10:44:08:417
6-1,6-1_frame_1500.jpg,0.075,25.0,0.2,2,10:44:18:452
6-1,6-1_frame_2640.jpg,0.1417,39.0,0.2,2,10:47:29:588
6-1,6-1_frame_2700.jpg,0.15,40.0,0.2,2,10:47:39:956
6-1,6-1_frame_2760.jpg,0.1556,40.0,0.2,2,10:47:49:988
6-1,6-1_frame_2820.jpg,0.1278,37.0,0.2,2,10:47:59:989
6-1,6-1_frame_2880.jpg,0.1222,36.0,0.2,2,10:48:09:988
6-1,6-1_frame_2940.jpg,0.1194,35.0,0.2,2,10:48:19:989
6-2,6-2_frame_0180.jpg,0.1167,24.0,2.6,3,03:43:14:463
6-2,6-2_frame_0240.jpg,0.1194,26.0,0.4,3,03:43:34:535
6-2,6-2_frame_0300.jpg,0.1417,30.0,0.4,3,03:43:54:603
6-2,6-2_frame_0360.jpg,0.125,27.0,0.4,3,03:44:14:602
6-2,6-2_frame_0420.jpg,0.1139,26.0,2.0,3,03:44:34:802
6-2,6-2_frame_0480.jpg,0.1,24.0,2.0,3,03:44:55:134
6-2,6-2_frame_0540.jpg,0.1083,26.0,1.6,3,03:45:15:403
6-2,6-2_frame_0600.jpg,0.1111,27.0,1.6,3,03:45:35:537
6-2,6-2_frame_0660.jpg,0.1,26.0,1.6,3,03:45:55:673
6-2,6-2_frame_0720.jpg,0.1083,28.0,1.6,3,03:46:15:799
6-2,6-2_frame_1380.jpg,0.0556,15.0,1.2,3,03:50:03:474
6-2,6-2_frame_1440.jpg,0.0778,22.0,1.2,3,03:50:23:609
6-2,6-2_frame_1500.jpg,0.1056,30.0,1.2,3,03:50:43:614
6-2,6-2_frame_1560.jpg,0.1444,34.0,3.6,3,03:51:03:612
