timestamp,steering,offset
1751029962.4599366,0.039,0.214
1751029962.5592933,0.039,0.214
1751029962.6593366,0.039,0.214
1751029962.759782,0.039,0.214
1751029962.8596923,0.039,0.214
1751029962.9596975,0.039,0.214
1751029963.0686135,0.039,0.214
1751029963.1594255,0.039,0.214
1751029963.2595158,0.039,0.214
1751029963.3595777,0.039,0.214
1751029963.4600155,0.039,0.214
1751029963.5597975,0.039,0.214
1751029963.6600277,0.039,0.214
1751029963.7595093,0.039,0.214
1751029963.8595738,0.039,0.214
1751029963.959808,0.039,0.214
1751029964.1404734,0.039,0.214
1751029964.1595814,0.039,0.214
1751029964.2594945,0.039,0.214
1751029964.3596883,0.039,0.214
1751029964.4599707,0.039,0.214
1751029964.5595136,0.039,0.214
1751029964.6596055,0.039,0.214
1751029964.759927,0.039,0.214
1751029964.8593237,0.039,0.214
1751029964.959274,0.039,0.214
1751029965.0736299,0.039,0.214
1751029965.160178,0.039,0.214
1751029965.25961,0.039,0.214
1751029965.3598142,0.039,0.214
1751029965.4595482,0.039,0.214
1751029965.5599196,0.04,0.214
1751029965.6593776,0.04,0.214
1751029965.759375,0.044,0.214
1751029965.8595202,0.05,0.214
1751029965.9593422,0.051,0.214
1751029966.0686767,0.05,0.214
1751029966.1592906,0.048,0.214
1751029966.2593706,0.047,0.214
1751029966.3597372,0.046,0.214
1751029966.4594114,0.046,0.214
1751029966.5597675,0.046,0.214
1751029966.659808,0.046,0.214
1751029966.7594223,0.046,0.214
1751029966.859332,0.046,0.215
1751029966.9596775,0.046,0.215
1751029967.078329,0.049,0.218
1751029967.1593654,0.052,0.222
1751029967.2592733,0.054,0.226
1751029967.3592484,0.056,0.233
1751029967.4597983,0.058,0.205
1751029967.559406,0.058,0.209
1751029967.6593683,0.058,0.216
1751029967.759334,0.058,0.225
1751029967.859504,0.058,0.235
1751029967.9595182,0.057,0.247
1751029968.0726388,0.056,0.261
1751029968.1596117,0.053,0.236
1751029968.2604544,0.048,0.239
1751029968.3593419,0.044,0.244
1751029968.4592986,0.041,0.249
1751029968.5592704,0.035,0.214
1751029968.659647,0.028,0.202
1751029968.7599256,0.02,0.186
1751029968.859361,0.014,0.166
1751029968.9592576,0.014,-0.137
1751029969.0718086,0.018,-0.116
1751029969.1600077,0.021,0.0
1751029969.2594118,0.023,0.0
1751029969.359472,0.023,0.0
1751029969.459947,0.023,0.0
1751029969.560565,0.023,0.0
1751029969.6591702,0.023,0.0
1751029969.7592072,0.023,0.0
1751029969.8592281,0.023,0.0
1751029969.9592855,0.023,0.0
1751029970.0761123,0.023,0.0
1751029970.1595588,0.025,0.0
1751029970.2593746,0.026,0.0
1751029970.359397,0.026,0.0
1751029970.4598908,0.026,0.0
1751029970.5594242,0.022,0.0
1751029970.6592975,0.018,0.0
1751029970.759487,0.014,0.0
1751029970.8593445,0.01,0.0
1751029970.9594579,0.005,0.0
1751029971.068001,-0.002,0.0
1751029971.1598694,-0.007,0.0
1751029971.2593746,-0.013,0.0
1751029971.3594253,-0.014,0.0
1751029971.4592106,-0.014,0.0
1751029971.5593886,-0.014,0.0
1751029971.6594708,-0.011,0.0
1751029971.7595284,-0.008,0.0
1751029971.8595026,-0.006,0.1
1751029971.95978,-0.003,0.113
1751029972.0757053,0.002,0.126
1751029972.1594105,0.007,0.137
1751029972.2594469,0.009,0.148
1751029972.3592234,0.008,0.157
1751029972.4595158,0.003,0.165
1751029972.5593748,-0.007,0.173
1751029972.6594698,-0.016,0.185
1751029972.7595031,-0.02,0.202
1751029972.8595102,-0.02,0.226
1751029972.9593065,-0.02,0.258
1751029973.0696654,-0.02,0.299
1751029973.1593533,-0.02,0.337
1751029973.2592459,-0.02,0.392
1751029973.3593013,-0.02,0.461
1751029973.4592175,-0.013,0.543
1751029973.5595481,-0.002,0.632
1751029973.6592333,0.012,0.725
1751029973.759999,0.022,0.817
1751029973.8596835,0.031,0.898
1751029973.959505,0.038,0.962
1751029974.0675323,0.039,-1.004
1751029974.1592417,0.037,-1.018
1751029974.259198,0.032,-1.01
1751029974.3593779,0.029,0.977
1751029974.4592369,0.029,0.924
1751029974.5593708,0.028,0.85
1751029974.6597736,0.025,0.754
1751029974.7594652,0.025,0.657
1751029974.859362,0.025,0.523
1751029974.9593897,0.025,0.36
1751029975.0695946,0.023,0.177
1751029975.1595626,0.014,0.0
1751029975.2593603,-0.011,-0.195
1751029975.3593137,-0.034,-0.363
1751029975.459379,-0.06,-0.554
1751029975.5594678,-0.072,-0.715
1751029975.659311,-0.077,-0.831
1751029975.7593324,-0.079,-0.88
1751029975.8593485,-0.078,-0.887
1751029975.9594777,-0.069,-0.83
1751029976.0744722,-0.057,-0.711
1751029976.15955,-0.041,-0.577
1751029976.2599332,-0.015,-0.382
1751029976.3599317,0.006,-0.159
1751029976.4593136,0.026,0.0
1751029976.5596397,0.039,0.292
1751029976.6592789,0.042,0.504
1751029976.7597122,0.045,0.686
1751029976.8594644,0.051,0.835
1751029976.959786,0.053,0.925
1751029977.0703375,0.046,1.009
1751029977.1595433,0.036,1.032
1751029977.259278,0.023,1.029
1751029977.3596485,0.016,1.006
1751029977.4600592,0.011,0.959
1751029977.5594099,0.009,0.894
1751029977.65927,0.009,0.82
1751029977.7592812,0.009,0.736
1751029977.8599029,0.009,0.645
1751029977.9603682,0.009,0.562
1751029978.079222,0.011,0.427
1751029978.159457,0.018,0.333
1751029978.2593527,0.024,0.202
1751029978.3596132,0.026,0.0
1751029978.4591525,0.026,-0.1
1751029978.559219,0.026,-0.279
1751029978.659469,0.026,0.486
1751029978.759288,0.026,-0.638
1751029978.8592696,0.027,-0.764
1751029978.9592927,0.032,0.882
1751029979.0937507,0.043,0.95
1751029979.1597886,0.048,-0.947
1751029979.259444,0.057,-0.955
1751029979.3594954,0.062,-0.945
1751029979.4601197,0.063,-0.95
1751029979.5594263,0.066,-0.912
1751029979.659466,0.07,-0.868
1751029979.7594204,0.076,-0.823
1751029979.8595483,0.078,-0.781
1751029979.9609053,0.078,-0.784
1751029980.0840816,0.079,-0.751
1751029980.1595595,0.081,-0.711
1751029980.25962,0.088,-0.689
1751029980.3603919,0.097,-0.679
1751029980.4595184,0.105,-0.729
1751029980.559295,0.107,-0.751
1751029980.6596928,0.107,-0.801
1751029980.7601304,0.107,-0.857
1751029980.859241,0.106,-0.967
1751029980.9594166,0.093,-1.137
1751029981.0661812,0.076,-1.259
1751029981.1594384,0.057,-1.439
1751029981.2595067,0.046,-1.582
1751029981.3594363,0.038,-1.744
1751029981.4594095,0.034,-1.895
1751029981.5601177,0.032,-1.993
1751029981.6594484,0.025,-2.094
1751029981.7594104,0.021,-2.145
1751029981.8594055,0.019,-2.171
1751029981.9594014,0.019,-2.169
1751029982.0762699,0.018,-2.098
1751029982.1593924,0.016,-2.019
1751029982.259334,0.016,-1.867
1751029982.3604622,0.019,-1.717
