Video,Frame,PERCLOS,BlinkRate,YawnRate,KSS,Timestamp
1-1,1-1_frame_0090_face0.jpg,0.0389,0.2333,0.0000,3,1900-01-01 10:08:54.298000
1-1,1-1_frame_0150_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:09:04.297000
1-1,1-1_frame_0210_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:09:14.299000
1-1,1-1_frame_0270_face0.jpg,0.0611,0.3667,0.0000,3,1900-01-01 10:09:24.298000
1-1,1-1_frame_0330_face0.jpg,0.0667,0.4000,0.0000,3,1900-01-01 10:09:34.298000
1-1,1-1_frame_0390_face0.jpg,0.0833,0.5000,0.0000,3,1900-01-01 10:09:44.298000
1-1,1-1_frame_0450_face0.jpg,0.0833,0.4667,0.0000,3,1900-01-01 10:09:54.565000
1-1,1-1_frame_0510_face0.jpg,0.0778,0.4333,0.0000,3,1900-01-01 10:10:04.566000
1-1,1-1_frame_0570_face0.jpg,0.0833,0.4333,0.0000,3,1900-01-01 10:10:14.834000
1-1,1-1_frame_0630_face0.jpg,0.0778,0.4000,0.0000,3,1900-01-01 10:10:24.900000
1-1,1-1_frame_0690_face0.jpg,0.0611,0.3000,0.0000,3,1900-01-01 10:10:34.901000
1-1,1-1_frame_0750_face0.jpg,0.0500,0.2667,0.0000,3,1900-01-01 10:10:44.933000
1-1,1-1_frame_0810_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:10:54.932000
1-1,1-1_frame_0870_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:11:04.933000
1-1,1-1_frame_0930_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:11:14.966000
1-1,1-1_frame_0990_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:11:24.967000
1-1,1-1_frame_1050_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:11:35.301000
1-1,1-1_frame_1110_face0.jpg,0.0333,0.2000,0.0000,3,1900-01-01 10:11:45.301000
1-1,1-1_frame_1170_face0.jpg,0.0389,0.2333,0.0000,3,1900-01-01 10:11:55.300000
1-1,1-1_frame_1230_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:12:05.692000
1-1,1-1_frame_1290_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:12:15.692000
1-1,1-1_frame_1350_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:12:26.301000
1-1,1-1_frame_1410_face0.jpg,0.0389,0.2333,0.0000,3,1900-01-01 10:12:36.301000
1-1,1-1_frame_1470_face0.jpg,0.0333,0.2000,0.0000,3,1900-01-01 10:12:46.301000
1-1,1-1_frame_1530_face0.jpg,0.0389,0.2333,0.0000,3,1900-01-01 10:12:56.334000
1-1,1-1_frame_1590_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:13:06.334000
1-1,1-1_frame_1650_face0.jpg,0.0611,0.3667,0.0000,3,1900-01-01 10:13:16.635000
1-1,1-1_frame_1710_face0.jpg,0.0611,0.3333,0.0000,3,1900-01-01 10:13:26.670000
1-1,1-1_frame_1770_face0.jpg,0.0667,0.3667,0.0000,3,1900-01-01 10:13:36.702000
1-1,1-1_frame_1830_face0.jpg,0.0667,0.3667,0.0000,3,1900-01-01 10:13:46.702000
1-1,1-1_frame_1890_face0.jpg,0.0611,0.3667,0.0000,3,1900-01-01 10:13:56.735000
1-1,1-1_frame_1950_face0.jpg,0.0556,0.3333,0.0000,3,1900-01-01 10:14:06.803000
1-1,1-1_frame_2010_face0.jpg,0.0389,0.2333,0.0000,3,1900-01-01 10:14:16.937000
1-1,1-1_frame_2070_face0.jpg,0.0333,0.2000,0.0000,3,1900-01-01 10:14:26.937000
1-1,1-1_frame_2130_face0.jpg,0.0278,0.1667,0.0000,3,1900-01-01 10:14:37.236000
1-1,1-1_frame_2190_face0.jpg,0.0444,0.2000,0.0000,3,1900-01-01 10:14:47.236000
1-1,1-1_frame_2250_face0.jpg,0.0611,0.3000,0.0000,3,1900-01-01 10:14:57.363000
1-1,1-1_frame_2310_face0.jpg,0.0667,0.3333,0.0000,3,1900-01-01 10:15:07.369000
1-1,1-1_frame_2370_face0.jpg,0.0556,0.3333,0.0000,3,1900-01-01 10:15:17.403000
1-1,1-1_frame_2430_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:15:27.536000
1-1,1-1_frame_2490_face0.jpg,0.0611,0.3667,0.0000,3,1900-01-01 10:15:37.604000
1-1,1-1_frame_2550_face0.jpg,0.0667,0.4000,0.0000,3,1900-01-01 10:15:47.604000
1-1,1-1_frame_2610_face0.jpg,0.0722,0.4333,0.0000,3,1900-01-01 10:15:57.804000
1-1,1-1_frame_2670_face0.jpg,0.0667,0.4000,0.0000,3,1900-01-01 10:16:07.839000
1-1,1-1_frame_2730_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:16:18.196000
1-1,1-1_frame_2791_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:16:28.372000
1-1,1-1_frame_2851_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:16:38.372000
1-1,1-1_frame_2911_face0.jpg,0.0722,0.4333,0.0000,3,1900-01-01 10:16:48.430000
1-1,1-1_frame_2971_face0.jpg,0.0889,0.5000,0.0000,3,1900-01-01 10:16:58.429000
1-1,1-1_frame_3031_face0.jpg,0.0889,0.5000,0.0000,3,1900-01-01 10:17:08.573000
1-1,1-1_frame_3091_face0.jpg,0.0833,0.4667,0.0000,3,1900-01-01 10:17:18.573000
1-1,1-1_frame_3151_face0.jpg,0.0611,0.3667,0.0000,3,1900-01-01 10:17:28.572000
1-1,1-1_frame_3211_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:17:38.573000
1-1,1-1_frame_3271_face0.jpg,0.0444,0.2667,0.0000,3,1900-01-01 10:17:48.574000
1-1,1-1_frame_3331_face0.jpg,0.0500,0.3000,0.0000,3,1900-01-01 10:17:58.575000
1-1,1-1_frame_3391_face0.jpg,0.0556,0.3333,0.0000,3,1900-01-01 10:18:08.908000
1-1,1-1_frame_3451_face0.jpg,0.0556,0.3333,0.0000,3,1900-01-01 10:18:18.906000
1-2,1-2_frame_0090_face0.jpg,0.0500,0.2333,0.0000,6,1900-01-01 03:34:15.027000
1-2,1-2_frame_0150_face0.jpg,0.0444,0.2000,0.0000,6,1900-01-01 03:34:25.027000
1-2,1-2_frame_0210_face0.jpg,0.0389,0.2333,0.0000,6,1900-01-01 03:34:35.394000
1-2,1-2_frame_0270_face0.jpg,0.0500,0.2667,0.0000,6,1900-01-01 03:34:52.400000
1-2,1-2_frame_0330_face0.jpg,0.0611,0.3000,0.0000,6,1900-01-01 03:35:12.465000
1-2,1-2_frame_0390_face0.jpg,0.0556,0.3000,0.0000,6,1900-01-01 03:35:32.602000
1-2,1-2_frame_0450_face0.jpg,0.0500,0.2667,0.0000,6,1900-01-01 03:35:52.802000
1-2,1-2_frame_0510_face0.jpg,0.0667,0.3333,0.0000,6,1900-01-01 03:36:12.862000
1-2,1-2_frame_0570_face0.jpg,0.1000,0.5000,0.0000,6,1900-01-01 03:36:32.937000
1-2,1-2_frame_0630_face0.jpg,0.0889,0.4333,0.0000,6,1900-01-01 03:36:53.074000
1-2,1-2_frame_0690_face0.jpg,0.0778,0.4000,0.0000,6,1900-01-01 03:37:13.206000
1-2,1-2_frame_0750_face0.jpg,0.0667,0.3333,0.0000,6,1900-01-01 03:37:33.333000
1-2,1-2_frame_0810_face0.jpg,0.1111,0.6000,0.0000,6,1900-01-01 03:37:53.800000
1-2,1-2_frame_0870_face0.jpg,0.1000,0.5667,0.0000,6,1900-01-01 03:38:14.076000
1-2,1-2_frame_0930_face0.jpg,0.0889,0.5000,0.0000,6,1900-01-01 03:38:34.134000
1-2,1-2_frame_0990_face0.jpg,0.0611,0.3000,0.0000,6,1900-01-01 03:38:54.145000
1-2,1-2_frame_1050_face0.jpg,0.0778,0.4000,0.0000,6,1900-01-01 03:39:14.206000
1-2,1-2_frame_1110_face0.jpg,0.0889,0.5000,0.0000,6,1900-01-01 03:39:34.475000
1-2,1-2_frame_1173_face0.jpg,0.1000,0.6000,0.0000,6,1900-01-01 03:39:55.745000
1-2,1-2_frame_1233_face0.jpg,0.0833,0.5000,0.0000,6,1900-01-01 03:40:15.933000
1-2,1-2_frame_1293_face0.jpg,0.0722,0.4333,0.0000,6,1900-01-01 03:40:36.205000
1-2,1-2_frame_1353_face0.jpg,0.0667,0.3333,0.0000,6,1900-01-01 03:40:56.470000
1-2,1-2_frame_1413_face0.jpg,0.0889,0.4667,0.0000,6,1900-01-01 03:41:16.604000
1-2,1-2_frame_1473_face0.jpg,0.1056,0.5333,0.0000,6,1900-01-01 03:41:36.806000
1-2,1-2_frame_1533_face0.jpg,0.0944,0.5333,0.0000,6,1900-01-01 03:41:57.079000
1-2,1-2_frame_1593_face0.jpg,0.0778,0.4333,0.0000,6,1900-01-01 03:42:17.277000
1-2,1-2_frame_1653_face0.jpg,0.0833,0.5000,0.0000,6,1900-01-01 03:42:37.474000
1-2,1-2_frame_1713_face0.jpg,0.1111,0.6667,0.0000,6,1900-01-01 03:42:57.677000
1-2,1-2_frame_1774_face0.jpg,0.1167,0.7000,0.0000,6,1900-01-01 03:43:18.079000
1-3,1-3_frame_0090_face0.jpg,0.0722,0.3333,0.0000,7,1900-01-01 12:04:28.732000
1-3,1-3_frame_0150_face0.jpg,0.1389,0.5667,0.0000,7,1900-01-01 12:04:48.798000
1-3,1-3_frame_0210_face0.jpg,0.1222,0.4667,0.0000,7,1900-01-01 12:05:08.800000
1-3,1-3_frame_0270_face0.jpg,0.1333,0.5667,0.0000,7,1900-01-01 12:05:28.800000
1-3,1-3_frame_0330_face0.jpg,0.1111,0.5333,0.0000,7,1900-01-01 12:05:48.799000
1-3,1-3_frame_0390_face0.jpg,0.1222,0.6667,0.0000,7,1900-01-01 12:06:08.803000
1-3,1-3_frame_0450_face0.jpg,0.1444,0.7333,0.0000,7,1900-01-01 12:06:28.801000
1-3,1-3_frame_0510_face0.jpg,0.1389,0.7333,0.0000,7,1900-01-01 12:06:48.801000
1-3,1-3_frame_0570_face0.jpg,0.1444,0.7000,0.0000,7,1900-01-01 12:07:08.801000
1-3,1-3_frame_0630_face0.jpg,0.1333,0.7000,0.0000,7,1900-01-01 12:07:28.935000
1-3,1-3_frame_0690_face0.jpg,0.1389,0.7333,0.0000,7,1900-01-01 12:07:48.935000
1-3,1-3_frame_0750_face0.jpg,0.1222,0.6667,0.0000,7,1900-01-01 12:08:12.337000
1-3,1-3_frame_0810_face0.jpg,0.1167,0.6333,0.0000,7,1900-01-01 12:08:35.802000
