Video,Frame,PERCLOS,BlinkRate,YawnRate,KSS,Timestamp
1-1,1-1_frame_0180.jpg,-0.5336396454028237,-0.5418409684694875,-0.17196705283325484,3,10:09:09:298
1-1,1-1_frame_0240.jpg,-0.49782479819085296,-0.4794212311621853,-0.17196705283325484,3,10:09:19:298
1-1,1-1_frame_0300.jpg,-0.5336396454028237,-0.5418409684694875,-0.17196705283325484,3,10:09:29:301
1-1,1-1_frame_0360.jpg,-0.49782479819085296,-0.4794212311621853,-0.17196705283325484,3,10:09:39:301
1-1,1-1_frame_0420.jpg,-0.5694544926147946,-0.6042607057767897,-0.17196705283325484,3,10:09:49:298
1-1,1-1_frame_0480.jpg,-0.49782479819085296,-0.5418409684694875,-0.17196705283325484,3,10:09:59:566
1-1,1-1_frame_0540.jpg,-0.5694544926147946,-0.6666804430840919,-0.17196705283325484,3,10:10:09:567
1-1,1-1_frame_0600.jpg,-0.6052693398267653,-0.7291001803913941,-0.17196705283325484,3,10:10:19:867
1-1,1-1_frame_0660.jpg,-0.6052693398267653,-0.7291001803913941,-0.17196705283325484,3,10:10:29:899
1-1,1-1_frame_0720.jpg,-0.6398050853525944,-0.7915199176986963,-0.17196705283325484,3,10:10:39:898
1-1,1-1_frame_0780.jpg,-0.6398050853525944,-0.7915199176986963,-0.17196705283325484,3,10:10:49:933
1-1,1-1_frame_0840.jpg,-0.6398050853525944,-0.7291001803913941,-0.17196705283325484,3,10:10:59:933
1-1,1-1_frame_0900.jpg,-0.6756199325645653,-0.7915199176986963,-0.17196705283325484,3,10:11:09:967
1-1,1-1_frame_0960.jpg,-0.711434779776536,-0.8539396550059986,-0.17196705283325484,3,10:11:19:966
1-1,1-1_frame_1020.jpg,-0.711434779776536,-0.8539396550059986,-0.17196705283325484,3,10:11:29:967
1-1,1-1_frame_1080.jpg,-0.711434779776536,-0.8539396550059986,-0.17196705283325484,3,10:11:40:300
