Video,Frame,PERCLOS,BlinkRate,YawnRate,YawnCount,KSS,Timestamp
1-1,1-1_frame_0045_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:08:46.799000
1-1,1-1_frame_0051_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:08:47.798000
1-1,1-1_frame_0057_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:08:48.797000
1-1,1-1_frame_0063_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:08:49.798000
1-1,1-1_frame_0069_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:08:50.798000
1-1,1-1_frame_0075_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:08:51.798000
1-1,1-1_frame_0081_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:08:52.798000
1-1,1-1_frame_0087_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:08:53.798000
1-1,1-1_frame_0093_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:08:54.798000
1-1,1-1_frame_0099_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:55.798000
1-1,1-1_frame_0105_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:08:56.798000
1-1,1-1_frame_0111_face0.jpg,0.0222,0.1333,0.0000,0,3,1900-01-01 10:08:57.798000
1-1,1-1_frame_0117_face0.jpg,0.0222,0.1333,0.0000,0,3,1900-01-01 10:08:58.797000
1-1,1-1_frame_0123_face0.jpg,0.0222,0.1333,0.0000,0,3,1900-01-01 10:08:59.798000
1-1,1-1_frame_0129_face0.jpg,0.0222,0.1333,0.0000,0,3,1900-01-01 10:09:00.797000
1-1,1-1_frame_0135_face0.jpg,0.0222,0.1333,0.0000,0,3,1900-01-01 10:09:01.798000
1-1,1-1_frame_0141_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:09:02.797000
1-1,1-1_frame_0147_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:09:03.798000
1-1,1-1_frame_0153_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:04.797000
1-1,1-1_frame_0159_face0.jpg,0.0333,0.2000,0.0000,0,3,1900-01-01 10:09:05.798000
1-1,1-1_frame_0165_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:06.798000
1-1,1-1_frame_0171_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:07.798000
1-1,1-1_frame_0177_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:08.798000
1-1,1-1_frame_0183_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:09.798000
1-1,1-1_frame_0189_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:10.797000
1-1,1-1_frame_0195_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:11.798000
1-1,1-1_frame_0201_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:12.798000
1-1,1-1_frame_0207_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:13.798000
1-1,1-1_frame_0213_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:14.798000
1-1,1-1_frame_0219_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:15.799000
1-1,1-1_frame_0225_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:16.799000
1-1,1-1_frame_0231_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:17.798000
1-1,1-1_frame_0237_face0.jpg,0.0556,0.2667,0.0000,0,3,1900-01-01 10:09:18.798000
1-1,1-1_frame_0243_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:19.799000
1-1,1-1_frame_0249_face0.jpg,0.0556,0.2667,0.0000,0,3,1900-01-01 10:09:20.800000
1-1,1-1_frame_0255_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:21.798000
1-1,1-1_frame_0261_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:22.801000
1-1,1-1_frame_0267_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:23.798000
1-1,1-1_frame_0273_face0.jpg,0.0556,0.2667,0.0000,0,3,1900-01-01 10:09:24.798000
1-1,1-1_frame_0279_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:25.798000
1-1,1-1_frame_0285_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:26.798000
1-1,1-1_frame_0291_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:27.801000
1-1,1-1_frame_0297_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:28.799000
1-1,1-1_frame_0303_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:29.801000
1-1,1-1_frame_0309_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:30.801000
1-1,1-1_frame_0315_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:31.801000
1-1,1-1_frame_0321_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:32.799000
1-1,1-1_frame_0327_face0.jpg,0.0667,0.3333,0.0000,0,3,1900-01-01 10:09:33.801000
1-1,1-1_frame_0333_face0.jpg,0.0778,0.4667,0.0000,0,3,1900-01-01 10:09:34.798000
1-1,1-1_frame_0339_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:35.798000
1-1,1-1_frame_0345_face0.jpg,0.1000,0.6000,0.0000,0,3,1900-01-01 10:09:36.799000
1-1,1-1_frame_0351_face0.jpg,0.1000,0.6000,0.0000,0,3,1900-01-01 10:09:37.801000
1-1,1-1_frame_0357_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:38.801000
1-1,1-1_frame_0363_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:39.801000
1-1,1-1_frame_0369_face0.jpg,0.1000,0.5333,0.0000,0,3,1900-01-01 10:09:40.799000
1-1,1-1_frame_0375_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:41.801000
1-1,1-1_frame_0381_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:42.800000
1-1,1-1_frame_0387_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:43.800000
1-1,1-1_frame_0393_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:44.798000
1-1,1-1_frame_0399_face0.jpg,0.1000,0.6000,0.0000,0,3,1900-01-01 10:09:45.801000
1-1,1-1_frame_0405_face0.jpg,0.1000,0.6000,0.0000,0,3,1900-01-01 10:09:46.800000
1-1,1-1_frame_0411_face0.jpg,0.0889,0.5333,0.0000,0,3,1900-01-01 10:09:47.799000
1-1,1-1_frame_0417_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:09:48.799000
1-1,1-1_frame_0423_face0.jpg,0.0778,0.4667,0.0000,0,3,1900-01-01 10:09:49.798000
1-1,1-1_frame_0429_face0.jpg,0.0778,0.4667,0.0000,0,3,1900-01-01 10:09:50.798000
1-1,1-1_frame_0435_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:09:51.798000
1-1,1-1_frame_0441_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:53.064000
1-1,1-1_frame_0447_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:54.065000
1-1,1-1_frame_0453_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:55.067000
1-1,1-1_frame_0459_face0.jpg,0.0444,0.2667,0.0000,0,3,1900-01-01 10:09:56.066000
1-1,1-1_frame_0465_face0.jpg,0.0556,0.3333,0.0000,0,3,1900-01-01 10:09:57.066000
1-1,1-1_frame_0471_face0.jpg,0.0778,0.4000,0.0000,0,3,1900-01-01 10:09:58.065000
1-1,1-1_frame_0477_face0.jpg,0.0889,0.4000,0.0000,0,3,1900-01-01 10:09:59.065000
1-1,1-1_frame_0483_face0.jpg,0.0778,0.4000,0.0000,0,3,1900-01-01 10:10:00.066000
1-1,1-1_frame_0489_face0.jpg,0.0667,0.3333,0.0000,0,3,1900-01-01 10:10:01.065000
1-1,1-1_frame_0495_face0.jpg,0.0667,0.3333,0.0000,0,3,1900-01-01 10:10:02.065000
1-1,1-1_frame_0501_face0.jpg,0.0778,0.4000,0.0000,0,3,1900-01-01 10:10:03.066000
1-1,1-1_frame_0507_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:04.066000
1-1,1-1_frame_0513_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:05.067000
1-1,1-1_frame_0519_face0.jpg,0.0778,0.4000,0.0000,0,3,1900-01-01 10:10:06.066000
1-1,1-1_frame_0525_face0.jpg,0.0778,0.4000,0.0000,0,3,1900-01-01 10:10:07.066000
1-1,1-1_frame_0531_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:08.066000
1-1,1-1_frame_0537_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:09.065000
1-1,1-1_frame_0543_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:10.065000
1-1,1-1_frame_0549_face0.jpg,0.0889,0.4667,0.0000,0,3,1900-01-01 10:10:11.066000
1-1,1-1_frame_0555_face0.jpg,0.1000,0.5333,0.0000,0,3,1900-01-01 10:10:12.333000
1-1,1-1_frame_0561_face0.jpg,0.0778,0.4667,0.0000,0,3,1900-01-01 10:10:13.333000
1-1,1-1_frame_0567_face0.jpg,0.0667,0.4000,0.0000,0,3,1900-01-01 10:10:14.333000
